id,question,expected_answer,category
q1,Do these companies worry about the challenges or business risks in China or India in terms of cloud service?,"Amazon: Yes. Amazon explicitly identifies China- and India-related risks connected to cloud services. Regulations and licensing requirements in China and India may restrict foreign investment in and operation of IT infrastructure and data centers. In China, Amazon provides certain technology services through locally licensed third parties to satisfy ownership and cybersecurity requirements. In India, the tax authority has asserted that tax applies to cloud-service fees paid to Amazon in the United States. Alphabet: No explicit China- or India-specific cloud-service risk was found. Microsoft: No explicit China- or India-specific cloud-service risk was found; its reference to regulatory scrutiny in China concerns the general business rather than cloud services specifically.",risk_evaluation
q2,"According to Amazon's consolidated balance sheets, how much cash and cash equivalents did Amazon report as of December 31, 2025?","Amazon reported $86,810 million ($86.810 billion) in cash and cash equivalents as of December 31, 2025. Source: Consolidated Balance Sheets, PDF page 63, printed report page 39.",number_checking
q3,"Based on Amazon's current ratio, calculated as current assets divided by current liabilities, did Amazon's liquidity increase or decrease from 2024 to 2025?","Amazon's liquidity decreased slightly from 2024 to 2025. The current ratio was approximately 1.06 in 2024 ($190,867 million / $179,431 million) and approximately 1.05 in 2025 ($229,083 million / $218,005 million). Source: Amazon Consolidated Balance Sheets, PDF page 63, printed report page 39.",number_checking
q4,"Can Amazon, Alphabet, and Microsoft be reliably ranked by their fiscal year 2025 research and development spending based on their 2025 10-K reports?","No. The three companies cannot be reliably ranked by fiscal year 2025 research and development spending. Alphabet separately reported research and development expense of $61,087 million, and Microsoft reported $32,488 million. Amazon did not separately disclose research and development expense. Amazon reported $108,521 million of “technology and infrastructure” expense, but this broader category also includes servers, networking equipment, data center depreciation, rent, utilities, and other infrastructure costs, so it is not directly comparable with Alphabet’s and Microsoft’s standalone R&D figures.",cloud_vs_other
q5,"According to Amazon's 2025 10-K, what are Amazon's main business activities and reportable segments?","Amazon's principal business activities include retail sales through online and physical stores, third-party seller services, advertising services, subscription services, and AWS cloud technology services. It also reports other activities such as healthcare and shipping services. Amazon has three reportable segments: North America, International, and Amazon Web Services (AWS). Source: Amazon 2025 10-K, PDF pages 5–6, 68–69, and 108–109.",cloud_vs_other
q6,"According to Amazon's 2025 10-K, what were AWS net sales in fiscal years 2025 and 2024, and by how much did they increase in both dollars and percentage terms?","AWS reported net sales of $128,725 million in fiscal year 2025 and $107,556 million in fiscal year 2024. Net sales increased by $21,169 million, or approximately 19.68% (rounded to 20% in Amazon’s report). Source: Results of Operations — Net Sales, Amazon 2025 10-K, PDF page 44, printed report page 24.",table_reading_calculation
q7,"According to Amazon's 2025 10-K, what was AWS's operating margin in fiscal year 2025?","AWS reported net sales of $128,725 million and operating income of $45,606 million in fiscal year 2025. Its operating margin was therefore $45,606 million / $128,725 million × 100% = 35.4%. Source: Note 10 — Segment Information, Amazon 2025 10-K, PDF page 110, printed report page 68.",financial_calculation
q8,"According to Alphabet's 2025 10-K, what was Google Cloud's operating margin in fiscal year 2025?","Google Cloud reported revenue of $58,705 million and operating income of $13,910 million in fiscal year 2025. Its operating margin was therefore $13,910 million / $58,705 million × 100% = 23.7%. Source: Alphabet 2025 10-K, revenue table on PDF page 39 and segment operating income table on PDF page 41.",financial_calculation
q9,"According to Microsoft's 2025 10-K, what was the Intelligent Cloud segment's operating margin in fiscal year 2025?","Microsoft’s Intelligent Cloud segment reported revenue of $106,265 million and operating income of $44,589 million in fiscal year 2025. Its operating margin was therefore $44,589 million / $106,265 million × 100% = 42.0%. Source: Microsoft 2025 10-K, Segment Results of Operations, PDF page 69, printed report page 39; Note 18, PDF page 144, printed report page 84.",financial_calculation
q10,"Based on the companies' 2025 10-K reports, rank Microsoft Intelligent Cloud, AWS, and Google Cloud from highest to lowest by fiscal year 2025 operating margin.","The fiscal year 2025 cloud-segment operating-margin ranking was: (1) Microsoft Intelligent Cloud: 42.0%, calculated as $44,589 million / $106,265 million; (2) AWS: 35.4%, calculated as $45,606 million / $128,725 million; and (3) Google Cloud: 23.7%, calculated as $13,910 million / $58,705 million. Sources: Microsoft 2025 10-K, PDF page 69; Amazon 2025 10-K, PDF page 110; Alphabet 2025 10-K, PDF page 84.",cross_document_calculation
q11,"Did Amazon, Alphabet, and Microsoft use the same fiscal year-end date for their fiscal year 2025 results?","No. Amazon and Alphabet both ended fiscal year 2025 on December 31, 2025, while Microsoft ended fiscal year 2025 on June 30, 2025. Therefore, the three companies’ fiscal year 2025 results do not cover the same reporting period. Amazon and Alphabet report the calendar year from January 1 through December 31, 2025, whereas Microsoft’s fiscal year 2025 covered July 1, 2024 through June 30, 2025. Sources: Amazon 2025 10-K, PDF page 1; Alphabet 2025 10-K, PDF page 1; Microsoft 2025 10-K, PDF page 1.",fiscal_year_check
